    ruleId:2014014	 override-bility:S  source:Company func:00002014	 severity:1 phase:1 class:B description:Local Night Definition talbe0 row1   		params: LOCAL NIGHT END=09:30, LOCAL NIGHT START=22:30, MIN INTERVAL HOURS=09:00, 
    ruleId:7505002	 override-bility:S  source:ROIs func:00007505	 severity:1 phase:1 class:R description:Min # GDOs in a RP talbe0 row6   		params: BASES=*, COUNT BLANK DAY=Y, COUNT LAYOVER=N, CREW TEAMS=*, DO ASSIGNMENT GROUP=DO, FLEETS=*, LEAVE ASSIGNMENTS=VAC, LEAVE DAYS RANGE=10-12, MIN DO=8, PERIOD=1, RANKS=*, RP DAYS RANGE=31-31, UNIT=RP, UTILIZE POST DUTY REST=Y, 
    ruleId:7505002	 override-bility:S  source:ROIs func:00007505	 severity:1 phase:1 class:R description:Min # GDOs in a RP talbe0 row7   		params: BASES=*, COUNT BLANK DAY=Y, COUNT LAYOVER=N, CREW TEAMS=*, DO ASSIGNMENT GROUP=DO, FLEETS=*, LEAVE ASSIGNMENTS=VAC, LEAVE DAYS RANGE=13-14, MIN DO=7, PERIOD=1, RANKS=*, RP DAYS RANGE=31-31, UNIT=RP, UTILIZE POST DUTY REST=Y, 
    ruleId:7505002	 override-bility:S  source:ROIs func:00007505	 severity:1 phase:1 class:R description:Min # GDOs in a RP talbe0 row8   		params: BASES=*, COUNT BLANK DAY=Y, COUNT LAYOVER=N, CREW TEAMS=*, DO ASSIGNMENT GROUP=DO, FLEETS=*, LEAVE ASSIGNMENTS=VAC, LEAVE DAYS RANGE=15-17, MIN DO=6, PERIOD=1, RANKS=*, RP DAYS RANGE=31-31, UNIT=RP, UTILIZE POST DUTY REST=Y, 
    ruleId:7505002	 override-bility:S  source:ROIs func:00007505	 severity:1 phase:1 class:R description:Min # GDOs in a RP talbe0 row9   		params: BASES=*, COUNT BLANK DAY=Y, COUNT LAYOVER=N, CREW TEAMS=*, DO ASSIGNMENT GROUP=DO, FLEETS=*, LEAVE ASSIGNMENTS=VAC, LEAVE DAYS RANGE=18-19, MIN DO=5, PERIOD=1, RANKS=*, RP DAYS RANGE=31-31, UNIT=RP, UTILIZE POST DUTY REST=Y, 
    ruleId:7505002	 override-bility:S  source:ROIs func:00007505	 severity:1 phase:1 class:R description:Min # GDOs in a RP talbe0 row10   		params: BASES=*, COUNT BLANK DAY=Y, COUNT LAYOVER=N, CREW TEAMS=*, DO ASSIGNMENT GROUP=DO, FLEETS=*, LEAVE ASSIGNMENTS=VAC, LEAVE DAYS RANGE=20-22, MIN DO=4, PERIOD=1, RANKS=*, RP DAYS RANGE=31-31, UNIT=RP, UTILIZE POST DUTY REST=Y, 
    ruleId:7505002	 override-bility:S  source:ROIs func:00007505	 severity:1 phase:1 class:R description:Min # GDOs in a RP talbe0 row11   		params: BASES=*, COUNT BLANK DAY=Y, COUNT LAYOVER=N, CREW TEAMS=*, DO ASSIGNMENT GROUP=DO, FLEETS=*, LEAVE ASSIGNMENTS=VAC, LEAVE DAYS RANGE=23-24, MIN DO=3, PERIOD=1, RANKS=*, RP DAYS RANGE=31-31, UNIT=RP, UTILIZE POST DUTY REST=Y, 
    ruleId:7505002	 override-bility:S  source:ROIs func:00007505	 severity:1 phase:1 class:R description:Min # GDOs in a RP talbe0 row12   		params: BASES=*, COUNT BLANK DAY=Y, COUNT LAYOVER=N, CREW TEAMS=*, DO ASSIGNMENT GROUP=DO, FLEETS=*, LEAVE ASSIGNMENTS=VAC, LEAVE DAYS RANGE=25-27, MIN DO=2, PERIOD=1, RANKS=*, RP DAYS RANGE=31-31, UNIT=RP, UTILIZE POST DUTY REST=Y, 
    ruleId:7505002	 override-bility:S  source:ROIs func:00007505	 severity:1 phase:1 class:R description:Min # GDOs in a RP talbe0 row13   		params: BASES=*, COUNT BLANK DAY=Y, COUNT LAYOVER=N, CREW TEAMS=*, DO ASSIGNMENT GROUP=DO, FLEETS=*, LEAVE ASSIGNMENTS=VAC, LEAVE DAYS RANGE=28-29, MIN DO=1, PERIOD=1, RANKS=*, RP DAYS RANGE=31-31, UNIT=RP, UTILIZE POST DUTY REST=Y, 
    ruleId:7505002	 override-bility:S  source:ROIs func:00007505	 severity:1 phase:1 class:R description:Min # GDOs in a RP talbe0 row14   		params: BASES=*, COUNT BLANK DAY=Y, COUNT LAYOVER=N, CREW TEAMS=*, DO ASSIGNMENT GROUP=DO, FLEETS=*, LEAVE ASSIGNMENTS=VAC, LEAVE DAYS RANGE=30-31, MIN DO=0, PERIOD=1, RANKS=*, RP DAYS RANGE=31-31, UNIT=RP, UTILIZE POST DUTY REST=Y, 
    ruleId:7505002	 override-bility:S  source:ROIs func:00007505	 severity:1 phase:1 class:R description:Min # GDOs in a RP talbe0 row15   		params: BASES=*, COUNT BLANK DAY=Y, COUNT LAYOVER=N, CREW TEAMS=*, DO ASSIGNMENT GROUP=DO, FLEETS=*, LEAVE ASSIGNMENTS=VAC, LEAVE DAYS RANGE=0-1, MIN DO=12, PERIOD=1, RANKS=*, RP DAYS RANGE=30-30, UNIT=RP, UTILIZE POST DUTY REST=Y, 
    ruleId:7505002	 override-bility:S  source:ROIs func:00007505	 severity:1 phase:1 class:R description:Min # GDOs in a RP talbe0 row16   		params: BASES=*, COUNT BLANK DAY=Y, COUNT LAYOVER=N, CREW TEAMS=*, DO ASSIGNMENT GROUP=DO, FLEETS=*, LEAVE ASSIGNMENTS=VAC, LEAVE DAYS RANGE=2-3, MIN DO=11, PERIOD=1, RANKS=*, RP DAYS RANGE=30-30, UNIT=RP, UTILIZE POST DUTY REST=Y, 
    ruleId:7505002	 override-bility:S  source:ROIs func:00007505	 severity:1 phase:1 class:R description:Min # GDOs in a RP talbe0 row17   		params: BASES=*, COUNT BLANK DAY=Y, COUNT LAYOVER=N, CREW TEAMS=*, DO ASSIGNMENT GROUP=DO, FLEETS=*, LEAVE ASSIGNMENTS=VAC, LEAVE DAYS RANGE=4-6, MIN DO=10, PERIOD=1, RANKS=*, RP DAYS RANGE=30-30, UNIT=RP, UTILIZE POST DUTY REST=Y, 
    ruleId:7505002	 override-bility:S  source:ROIs func:00007505	 severity:1 phase:1 class:R description:Min # GDOs in a RP talbe0 row18   		params: BASES=*, COUNT BLANK DAY=Y, COUNT LAYOVER=N, CREW TEAMS=*, DO ASSIGNMENT GROUP=DO, FLEETS=*, LEAVE ASSIGNMENTS=VAC, LEAVE DAYS RANGE=7-8, MIN DO=9, PERIOD=1, RANKS=*, RP DAYS RANGE=30-30, UNIT=RP, UTILIZE POST DUTY REST=Y, 
    ruleId:7505002	 override-bility:S  source:ROIs func:00007505	 severity:1 phase:1 class:R description:Min # GDOs in a RP talbe0 row19   		params: BASES=*, COUNT BLANK DAY=Y, COUNT LAYOVER=N, CREW TEAMS=*, DO ASSIGNMENT GROUP=DO, FLEETS=*, LEAVE ASSIGNMENTS=VAC, LEAVE DAYS RANGE=9-11, MIN DO=8, PERIOD=1, RANKS=*, RP DAYS RANGE=30-30, UNIT=RP, UTILIZE POST DUTY REST=Y, 
    ruleId:7505002	 override-bility:S  source:ROIs func:00007505	 severity:1 phase:1 class:R description:Min # GDOs in a RP talbe0 row20   		params: BASES=*, COUNT BLANK DAY=Y, COUNT LAYOVER=N, CREW TEAMS=*, DO ASSIGNMENT GROUP=DO, FLEETS=*, LEAVE ASSIGNMENTS=VAC, LEAVE DAYS RANGE=12-13, MIN DO=7, PERIOD=1, RANKS=*, RP DAYS RANGE=30-30, UNIT=RP, UTILIZE POST DUTY REST=Y, 
    ruleId:7505002	 override-bility:S  source:ROIs func:00007505	 severity:1 phase:1 class:R description:Min # GDOs in a RP talbe0 row21   		params: BASES=*, COUNT BLANK DAY=Y, COUNT LAYOVER=N, CREW TEAMS=*, DO ASSIGNMENT GROUP=DO, FLEETS=*, LEAVE ASSIGNMENTS=VAC, LEAVE DAYS RANGE=14-16, MIN DO=6, PERIOD=1, RANKS=*, RP DAYS RANGE=30-30, UNIT=RP, UTILIZE POST DUTY REST=Y, 
    ruleId:7505002	 override-bility:S  source:ROIs func:00007505	 severity:1 phase:1 class:R description:Min # GDOs in a RP talbe0 row22   		params: BASES=*, COUNT BLANK DAY=Y, COUNT LAYOVER=N, CREW TEAMS=*, DO ASSIGNMENT GROUP=DO, FLEETS=*, LEAVE ASSIGNMENTS=VAC, LEAVE DAYS RANGE=17-18, MIN DO=5, PERIOD=1, RANKS=*, RP DAYS RANGE=30-30, UNIT=RP, UTILIZE POST DUTY REST=Y, 
    ruleId:7505002	 override-bility:S  source:ROIs func:00007505	 severity:1 phase:1 class:R description:Min # GDOs in a RP talbe0 row23   		params: BASES=*, COUNT BLANK DAY=Y, COUNT LAYOVER=N, CREW TEAMS=*, DO ASSIGNMENT GROUP=DO, FLEETS=*, LEAVE ASSIGNMENTS=VAC, LEAVE DAYS RANGE=19-21, MIN DO=4, PERIOD=1, RANKS=*, RP DAYS RANGE=30-30, UNIT=RP, UTILIZE POST DUTY REST=Y, 
    ruleId:7505002	 override-bility:S  source:ROIs func:00007505	 severity:1 phase:1 class:R description:Min # GDOs in a RP talbe0 row24   		params: BASES=*, COUNT BLANK DAY=Y, COUNT LAYOVER=N, CREW TEAMS=*, DO ASSIGNMENT GROUP=DO, FLEETS=*, LEAVE ASSIGNMENTS=VAC, LEAVE DAYS RANGE=22-23, MIN DO=3, PERIOD=1, RANKS=*, RP DAYS RANGE=30-30, UNIT=RP, UTILIZE POST DUTY REST=Y, 
    ruleId:7505002	 override-bility:S  source:ROIs func:00007505	 severity:1 phase:1 class:R description:Min # GDOs in a RP talbe0 row25   		params: BASES=*, COUNT BLANK DAY=Y, COUNT LAYOVER=N, CREW TEAMS=*, DO ASSIGNMENT GROUP=DO, FLEETS=*, LEAVE ASSIGNMENTS=VAC, LEAVE DAYS RANGE=24-26, MIN DO=2, PERIOD=1, RANKS=*, RP DAYS RANGE=30-30, UNIT=RP, UTILIZE POST DUTY REST=Y, 
    ruleId:7505002	 override-bility:S  source:ROIs func:00007505	 severity:1 phase:1 class:R description:Min # GDOs in a RP talbe0 row26   		params: BASES=*, COUNT BLANK DAY=Y, COUNT LAYOVER=N, CREW TEAMS=*, DO ASSIGNMENT GROUP=DO, FLEETS=*, LEAVE ASSIGNMENTS=VAC, LEAVE DAYS RANGE=27-28, MIN DO=1, PERIOD=1, RANKS=*, RP DAYS RANGE=30-30, UNIT=RP, UTILIZE POST DUTY REST=Y, 
    ruleId:7505002	 override-bility:S  source:ROIs func:00007505	 severity:1 phase:1 class:R description:Min # GDOs in a RP talbe0 row27   		params: BASES=*, COUNT BLANK DAY=Y, COUNT LAYOVER=N, CREW TEAMS=*, DO ASSIGNMENT GROUP=DO, FLEETS=*, LEAVE ASSIGNMENTS=VAC, LEAVE DAYS RANGE=29-30, MIN DO=0, PERIOD=1, RANKS=*, RP DAYS RANGE=30-30, UNIT=RP, UTILIZE POST DUTY REST=Y, 
    ruleId:7506002	 override-bility:S  source:ROIs func:00007506	 severity:1 phase:1 class:R description:One Checkin Per Day.  talbe0 row1   		params: ASSIGNMENTS=FLY, BASES=*, CREW TEAMS=*, FLEETS=*, RANKS=*, 
    ruleId:8002006	 override-bility:S  source:CCAR-121-487(a) 497(a) func:00008002	 severity:1 phase:1 class:B description:Maximum Flight Time talbe0 row1   		params: BASES=*, CREW TEAMS=*, FLEETS=*, MAX LIMITS=112:00, MIN LIMITS=00:00, PERIOD=28, PRORATED=Y, RANKS=*, TYPE=BH, UNIT=CD, 
    ruleId:8002006	 override-bility:S  source:CCAR-121-487(a) 497(a) func:00008002	 severity:1 phase:1 class:B description:Maximum Flight Time talbe0 row2   		params: BASES=*, CREW TEAMS=*, FLEETS=*, MAX LIMITS=300:00, MIN LIMITS=00:00, PERIOD=90, PRORATED=Y, RANKS=*, TYPE=BH, UNIT=CD, 
    ruleId:8002006	 override-bility:S  source:CCAR-121-487(a) 497(a) func:00008002	 severity:1 phase:1 class:B description:Maximum Flight Time talbe0 row3   		params: BASES=*, CREW TEAMS=*, FLEETS=*, MAX LIMITS=1000:00, MIN LIMITS=00:00, PERIOD=365, PRORATED=Y, RANKS=*, TYPE=BH, UNIT=CD, 
    ruleId:8002009	 override-bility:S  source:CCAR-121-487(a) 497(a) func:00008002	 severity:1 phase:1 class:B description:Maximum Hours of Work talbe0 row1   		params: BASES=*, CREW TEAMS=*, FLEETS=*, MAX LIMITS=60:00, MIN LIMITS=00:00, PERIOD=7, PRORATED=Y, RANKS=*, TYPE=DP, UNIT=CD, 
    ruleId:8002009	 override-bility:S  source:CCAR-121-487(a) 497(a) func:00008002	 severity:1 phase:1 class:B description:Maximum Hours of Work talbe0 row2   		params: BASES=*, CREW TEAMS=*, FLEETS=*, MAX LIMITS=192:00, MIN LIMITS=00:00, PERIOD=28, PRORATED=Y, RANKS=*, TYPE=DP, UNIT=CD, 
    ruleId:8002009	 override-bility:S  source:CCAR-121-487(a) 497(a) func:00008002	 severity:1 phase:1 class:B description:Maximum Hours of Work talbe0 row3   		params: BASES=*, CREW TEAMS=*, FLEETS=*, MAX LIMITS=2200:00, MIN LIMITS=00:00, PERIOD=365, PRORATED=Y, RANKS=*, TYPE=DP, UNIT=CD, 
    ruleId:8004004	 override-bility:S  source:General func:00008004	 severity:1 phase:1 class:R description:Basic Competency-F8 talbe0 row1   		params: ASSIGNMENTS=FLY, BASE=*, ENABLE CHECK=Y, FLEET=*, GRACE PERIOD=0, RANK=*, TYPE=BASE, UNIT=CD, 
    ruleId:8004004	 override-bility:S  source:General func:00008004	 severity:1 phase:1 class:R description:Basic Competency-F8 talbe0 row2   		params: ASSIGNMENTS=FLY, BASE=*, ENABLE CHECK=N, FLEET=*, GRACE PERIOD=0, RANK=*, TYPE=RANK, UNIT=CD, 
    ruleId:8004004	 override-bility:S  source:General func:00008004	 severity:1 phase:1 class:R description:Basic Competency-F8 talbe0 row3   		params: ASSIGNMENTS=FLY, BASE=*, ENABLE CHECK=N, FLEET=*, GRACE PERIOD=0, RANK=*, TYPE=FLEET, UNIT=CD, 
    ruleId:8030004	 override-bility:S  source:ZH Company func:00008030	 severity:1 phase:1 class:R description:Age Restriction talbe0 row1   		params: AGE DEFINE=65, AIRPORT=*, DIVISION=P, MAX NUMBER=1, 
    ruleId:8056006	 override-bility:S  source:General func:00008056	 severity:1 phase:1 class:R description:Roster Spacing talbe0 row1   		params: AIRPORT A=*, AIRPORT B=*, ASSIGNMENT GROUP A=FLY, ASSIGNMENT GROUP B=FLY|SBY|SIM, ATTRIBUTE A=*, ATTRIBUTE B=*, BASES=*, CREW TEAMS=*, DIRECTIONAL=Y, FLEETS=*, IS LOCATION EQUAL BASE A=*, IS LOCATION EQUAL BASE B=*, IS REQUESTED A=*, IS REQUESTED B=*, LABEL A=*, LABEL B=*, QUALIFIER A=*, QUALIFIER B=*, RANKS=*, ROLES A=*, ROLES B=*, SPACE=13, UNIT=RH, UTILIZE POST DUTY REST=Y, 
